ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closestsecondary,secondary_school_ranking
ID896823239,8 Prentice St,ELSTERNWICK,2105000.0,h,2017-08-19,3,2.0,1.0,346.0,129.0,-37.88319,145.01142,19954,940.6824427713815,21.5,0,1666.0,9333.666666666666,523.0,Adass Israel School,293.2830062318625,not ranked,Adass Israel School,293.2830062318625,534
ID389244102,30 Grange Rd,FRANKSTON SOUTH,1905000.0,h,2017-03-09,4,2.0,2.0,1471.0,59.0,-38.15984,145.10884,19855,2411.9535156173547,69.0,0,517.3333333333334,2973.0,288.6666666666667,Overport Primary School,1588.6807402419568,not ranked,Frankston High School,1772.167809153907,87
ID425946095,79 Glen St,GLENROY,530000.0,h,2016-07-11,2,1.0,2.0,643.0,9.0,-37.6978,144.9276,20031,1076.714497519263,38.0,0,1683.6666666666667,8938.666666666666,509.3333333333333,Glenroy Private,146.52947282897227,not ranked,Glenroy Private,146.52947282897227,not ranked
ID890891988,23 Manuka St,BENTLEIGH EAST,1580000.0,h,2017-03-06,4,2.0,2.0,604.0,69.0,-37.91327,145.07917,19917,1644.8476071928496,29.545454545454547,1,959.0,4476.666666666667,324.0,Hughesdale Primary School,838.0548199331357,221,South Oakleigh Secondary College,1371.578264759707,not ranked
ID449976410,202 Raglan St,PRESTON,945000.0,h,2017-03-06,3,1.0,2.0,349.0,79.0,-37.74946,145.00875,20013,872.1288199147583,26.11111111111111,0,705.3333333333334,5479.666666666667,335.0,Preston South Primary School,211.18413349166414,not ranked,Preston High School,893.3405432691145,not ranked
ID451032750,11 Kenilworth Gr,GLEN IRIS,1625000.0,h,2016-05-14,3,2.0,4.0,1005.0,39.0,-37.8528,145.0487,19944,2269.7158292548784,20.666666666666668,0,1923.6666666666667,8979.333333333334,620.3333333333334,St Roch's School,599.1300220471733,131,Sacre Coeur,1028.090751380042,16
ID767815495,1/177 Oakleigh Rd,CARNEGIE,586000.0,u,2017-04-03,2,1.0,1.0,898.0,49.0,-37.9003,145.0634,19919,1177.4535679019275,25.545454545454547,0,3767.6666666666665,18925.0,2042.3333333333333,St Patrick's School,231.93776109883018,346,Oakleigh Grammar,1774.492814860052,270
ID471358330,38 Grandview Gr,MOORABBIN,950000.0,h,2016-04-06,2,1.0,3.0,649.0,69.0,-37.9424,145.0464,19872,779.6345719461078,40.142857142857146,0,71.0,261.0,20.0,Moorabbin Primary School,599.5946573924468,237,Our Lady of the Sacred Heart College,1941.0923429829047,not ranked
ID462447568,16b Regent St,BRIGHTON EAST,1511000.0,t,2016-09-24,3,2.0,2.0,496.0,7.0,-37.9237,145.0075,19951,1369.9086312132185,26.5,0,2744.3333333333335,10289.666666666666,780.0,St Leonard's College,548.9250978275046,33,St Leonard's College,548.9250978275046,43
ID285239036,1 Gladesville Dr,BENTLEIGH EAST,1220000.0,h,2017-01-07,5,2.0,2.0,611.0,69.0,-37.93228,145.07026000000005,19937,2952.2004340213457,38.23529411764706,0,959.0,4476.666666666667,324.0,East Bentleigh Primary School,258.4343701819296,not ranked,St James' College,653.769152770585,not ranked
ID285516446,313 Nepean Hwy,BRIGHTON EAST,994000.0,h,2017-02-25,2,2.0,2.0,539.0,20.0,-37.9013,145.0072,19952,567.7557275036843,24.5,0,2897.3333333333335,11243.0,942.0,Gardenvale Primary School,784.195291573013,138,Leibler Yavneh College,939.6456111060909,28
ID283346843,5 Palmerston Cr,FRANKSTON SOUTH,850000.0,h,2017-12-08,3,1.0,1.0,884.0,51.0,-38.1632,145.10766,19855,2772.063028866767,69.0,0,517.3333333333334,2973.0,288.6666666666667,Toorak College,1600.4353547248675,55,Toorak College,1600.4353547248675,45
ID167936655,93 Tudor St,BENTLEIGH EAST,921000.0,h,2016-04-16,3,2.0,1.0,291.0,19.0,-37.919,145.0829,19916,1926.5416891023172,31.545454545454547,0,925.6666666666666,4701.333333333333,308.6666666666667,Coatesville Primary School,822.8387559391816,271,South Oakleigh Secondary College,707.3730126859065,not ranked
ID898368465,20/67 High St,PRAHRAN,492000.0,u,2017-04-03,1,1.0,1.0,1768.0,131.0,-37.851,144.988,19958,232.21707737420843,13.5,0,705.3333333333334,5479.666666666667,335.0,Wesley College,568.5945523353317,202,Prahran High School,298.23560024241976,not ranked
ID546929783,10/7 College Pde,KEW,720000.0,u,2016-05-22,3,1.0,1.0,0.0,24.0,-37.8135,145.0355,19904,890.6779995006875,15.633333333333333,0,271.6666666666667,771.6666666666666,74.0,Methodist Ladies' College,267.78104156479856,41,Methodist Ladies' College,267.78104156479856,not ranked
ID887696253,1/1 Danae St,GLENROY,460000.0,t,2016-12-11,3,1.0,1.0,325.0,49.0,-37.7001,144.9291,20032,1156.9725566572333,36.0,0,1683.6666666666667,8938.666666666666,509.3333333333333,Glenroy Private,259.24717661876116,not ranked,Glenroy Private,259.24717661876116,not ranked
ID468468989,47 Youngman St,PRESTON,800000.0,h,2017-05-20,2,1.0,1.0,405.0,84.0,-37.7356,145.0087,20012,797.1282042604623,28.11111111111111,0,705.3333333333334,5479.666666666667,335.0,Preston Primary School,579.9610242725524,250,Preston High School,707.6665033048959,not ranked
ID619264934,20 Ambon St,PRESTON,910000.0,h,2017-04-22,3,1.0,1.0,674.0,64.0,-37.7341,145.0275,20011,2267.489136254884,31.11111111111111,0,705.3333333333334,5479.666666666667,335.0,Preston North East Primary School,207.92343050831957,not ranked,Northern College of the Arts and Technology,690.3549584125736,not ranked
ID256568189,39 Mason St,RESERVOIR,786000.0,h,2016-04-16,4,3.0,1.0,595.0,6.0,-37.7283,145.0072,20011,389.97295470168416,31.11111111111111,0,824.6666666666666,1890.3333333333333,159.33333333333334,Preston Primary School,370.93434493056134,250,Preston High School,1490.3659504577001,not ranked
ID228234603,3/18 Connell St,HAWTHORN,520000.0,u,2016-08-13,2,1.0,1.0,0.0,119.0,-37.8185,145.0235,19905,373.9986615069068,14.0,0,1150.6666666666667,7827.0,922.3333333333334,Hawthorn West Primary School,484.9133253481078,125,Xavier College,845.1451535858236,53
ID577575636,103/25 Byron St,NORTH MELBOURNE,450000.0,u,2016-07-16,1,1.0,1.0,0.0,7.0,-37.802,144.9516,19973,1008.810071852239,6.319148936170213,1,71.0,261.0,20.0,North Melbourne Primary School,373.4067589808349,182,Simonds Catholic College,456.21622792043837,262
ID347139330,5 Ryde St,PRESTON,1040000.0,h,2016-09-17,3,1.0,2.0,555.0,94.0,-37.7491,144.985,20014,1365.9324764252071,25.11111111111111,1,659.0,5219.333333333333,338.3333333333333,Bell Primary School,518.1156089740922,not ranked,St John's College Preston,1227.130608744455,not ranked
ID414447401,47 Lord St,RICHMOND,1220000.0,h,2016-10-12,2,1.0,1.0,80.0,119.0,-37.8213,145.005,19906,732.1908655386993,11.947368421052632,0,824.6666666666666,1890.3333333333333,159.33333333333334,Trinity Catholic School,670.1382818015244,not ranked,Richmond High School,474.33282200540367,not ranked
ID233543841,11/5 The Avenue,WINDSOR,623000.0,u,2016-08-22,2,1.0,1.0,0.0,56.0,-37.8572,144.9974,19957,488.4955036923942,15.5,0,1002.6666666666666,4068.0,328.3333333333333,Windsor Primary School,150.774192488419,not ranked,Presentation College Windsor,240.71567647643428,not ranked
ID783418319,40 Smith St,SOUTH MELBOURNE,970000.0,h,2017-09-09,2,1.0,0.0,82.0,119.0,-37.83606,144.95164,22180,2017.5638050702653,0.0,0,1245.0,3886.0,447.6666666666667,Galilee Regional Catholic Primary School,278.9910324678797,208,Albert Park College,1042.205674264876,131
ID935411939,15 Adamson St,HEIDELBERG,1515000.0,h,2017-07-22,3,1.0,3.0,827.0,69.0,-37.74776,145.06217,19936,646.0642296648497,31.833333333333332,0,1253.6666666666667,7401.333333333333,484.6666666666667,Heidelberg Primary School,918.2271584417048,109,Our Lady of Mercy College,1228.3589659307595,90
ID456414165,21 Stoneyfell Rd,POINT COOK,527000.0,h,2017-08-26,4,2.0,2.0,400.0,8.0,-37.90858,144.77771,19924,4902.66728310953,26.9375,0,1609.3333333333333,6840.666666666667,525.6666666666666,Saltwater P-9 College,720.4697347916116,not ranked,Saltwater P-9 College,720.4697347916116,not ranked
ID296470703,17 Nyah St,KEILOR EAST,1031100.0,h,2017-09-09,3,1.0,1.0,602.0,58.0,-37.73514,144.86778,20037,4853.996444952759,24.0,0,591.6666666666666,1189.6666666666667,177.33333333333334,Keilor Heights Primary School,287.6655879520633,not ranked,Penleigh & Essendon Grammar School,401.4467265263496,not ranked
ID845521394,288 Barkly St,ELWOOD,1561000.0,h,2017-02-25,3,2.0,0.0,218.0,59.0,-37.8758,144.9798,19955,1356.4214499931318,19.5,0,1666.0,9333.666666666666,523.0,Yesodei HaTorah College,432.69164231700114,277,Yesodei HaTorah College,432.69164231700114,38
ID790602917,1/8 Louise St,CLIFTON HILL,712000.0,u,2017-05-20,2,1.0,1.0,36.0,49.0,-37.7926,145.0019,19974,719.6417768119379,15.074074074074074,0,1097.6666666666667,5916.0,553.3333333333334,Spensley Street Primary School,669.3437892328028,not ranked,Sophia Mundi Steiner School,1265.8617637267257,not ranked
ID763422937,22 Irving Av,PRAHRAN,1650000.0,h,2017-09-09,3,1.0,0.0,435.0,53.0,-37.85793,145.00734,19946,983.816651621413,18.0,0,705.3333333333334,5479.666666666667,335.0,The King David School,279.2392432802834,140,The King David School,279.2392432802834,27
ID501215632,18/61 High St,PRAHRAN,685000.0,u,2017-05-20,2,1.0,1.0,8220.0,54.0,-37.8508,144.9874,19958,259.04144141537813,13.5,0,705.3333333333334,5479.666666666667,335.0,Wesley College,511.3987337875592,202,Prahran High School,355.4646958875942,not ranked
ID980504669,76 Argyle St,MOONEE PONDS,1550000.0,h,2016-08-10,3,2.0,3.0,477.0,5.0,-37.7661,144.9076,20038,1018.2639835777148,22.0,0,278.0,489.0,65.0,Moonee Ponds West Primary School,351.7393554612518,not ranked,Lowther Hall Anglican Grammar School,946.6808863718585,not ranked
